Hour,AvgCalories,AvgIntensity,NormalizedIntensity
0,72.40156709108717,2.405484818805093,14.538124489062497
1,69.60626836434868,1.3202742409402546,7.979394059957754
2,68.12438785504408,0.7600391772771793,4.593479073091408
3,67.55937193326791,0.5466143277723258,3.303594802401111
4,67.77013752455795,0.5776031434184676,3.490883142826394
5,77.99803343166175,3.8397246804326453,23.20629711377055
6,80.82185039370079,5.536417322834645,33.46066607177948
7,90.59861932938855,9.612426035502958,58.09500241014433
8,98.03857566765579,12.708209693372899,76.80511351019081
9,106.34653465346534,15.24851485148515,92.15805705825645
10,106.39260739260739,15.892107892107893,96.04776597336634
11,108.22868605817452,16.633901705115345,100.5309748111073
12,113.5793172690763,18.54317269076305,112.0701119761839
13,108.55321285140562,16.285140562248998,98.42315318932823
14,111.43373493975903,17.019076305220885,102.85886989594962
15,105.69748743718593,14.985929648241205,90.57106039799793
16,110.27236180904522,16.439195979899498,99.35422405808144
17,112.29879275653923,17.809859154929576,107.63815572764793
18,115.16414904330313,18.520644511581068,111.93395752162273
19,116.32829808660624,19.24773413897281,116.32829808660624
20,104.26337033299697,14.924318869828456,90.19870088051924
21,92.55802219979819,10.338042381432896,62.48043884522782
22,84.80909090909091,7.406060606060606,44.760303712053826
23,76.99898785425101,4.57085020242915,27.625029575859404
